en;jp
Current snippet;現在のスニペット
Lua code;Luaコード
New snippet;スニペットを作成
Snippet with the name "__1__" already exists.;"__1__"という名前のスニペットがすでに存在します。
The currently opened snippet has a duplicate name.;現在開いているスニペットと名称が重複しています。
Forces;勢力
Surfaces;サーフェス
Clone;複製
Areas and positions;エリアと位置
Time;時間
Lua snippets;Luaスニペット
__1__ to specify spawn location.;__1__でスポーン地点を指定します。
__1__ to build cliffs.;__1__で崖を作成します。
__1__ to build tiles out of map.;__1__でマップ外にタイルを舗装します。
__1__ to remove cliffs.;__1__で崖を削除します。
__1__ and drag to build cliff segments.;__1__をドラッグして連続した崖を作成します。
__1__ and drag to remove cliff segments.;__1__をドラッグして連続した崖を削除します。
And all the other relevant shortcuts as when playing the game.;その他、ゲーム中と同じショートカットが利用可能です。
__1__ and drag to change the force of entities.;__1__をドラッグしてエンティティの勢力を変更します。
__1__ and drag to build tiles.;__1__をドラッグして舗装します。
__1__ to fill selected area.;__1__で選択したエリアを塗りつぶします。
__1__ to change tile variations in the selected area.;__1__で選択したエリアのタイルのバリエーションを変更します。
__1__ to create a new point.;__1__で新しいポイントを作成します。
__1__ to remove a point.;__1__でポイントを削除します。
__1__ to select a point.;__1__でポイントを選択します。
__1__ and drag to move a point.;__1__をドラッグしてポイントを移動します。
__1__ and drag to create a new area.;__1__をドラッグして新しいエリアを作成します。
__1__ to remove an area.;__1__でエリアを削除します。
__1__ to select an area.;__1__でエリアを選択します。
__1__ and drag to move an area.;__1__をドラッグしてエリアを移動します。
__1__ and drag to run the selected snippet on the area.;__1__をドラッグして、選択したスニペットをエリア上で実行します。
__1__ and drag to select area to clone.;__1__をドラッグして、複製するエリアを選択します。
__1__ to build the selected area.;__1__で選択したエリアを作成します。
Press __1__ to select entity for cloning.;__1__を押して複製するエンティティを選択します。
__1__ to clone the selected entity.;__1__で選択したエンティティを複製します。
__1__ to set the clone source point.;__1__でクローンの原点を設定します。
__1__ to set the clone destination point.;__1__でクローンの目標点を設定します。
__1__ and drag to add to the clone area.;__1__をドラッグして、クローンエリアを追加します。
__1__ and drag to remove from the clone area.;__1__をドラッグして、クローンエリアから削除します。
When no editor resource is selected __1__ a resource in the world to edit.;配置する物を選択していない場合には地面の資源を編集します
The initial resource amount is based off the tool intensity value.;初期の資源量はエディタツールの強度に基づいています
Building or removing the same resource increases or decreases the resource amount based off the tool intensity value.;同じ資源を配置・削除する時はエディタツールの強度に基づいて資源量が増減します
__1__ to edit.;__1__で編集します。
__1__ to mine.;__1__で解体します。
Source area and destination area are not the same size.;複製元エリアと複製先エリアが同じサイズではありません。
Source area and destination area collide.;複製元と複製先が衝突しています。
Source area tiles and destination area tiles collide.;複製元のタイルと複製先のタイルが衝突しています。
Source entities overlap with destination entities.;複製元エンティティが複製先エンティティと重なります。
Source area and destination area must not be rotated.;複製元エリアと複製先エリアは回転させられません。
Brush;ブラシ
Spray;スプレー
Variations;バリエーション
Spawn location;スポーン地点
Square;四角
Circle;丸
Paint bucket;塗りつぶし
Area;エリア
Point;ポイント
Line;直線
Change force;勢力を変更
Run Lua Snippets;Luaスニペットの実行
Resume editing;編集を再開
Regenerate map;再生成
Save and play;保存してプレイ
Direct connection;直接接続
IP address and port;IPアドレスとポート
Connect;接続
Please insert password for game __1__;ゲーム「__1__」のパスワードを入力してください。
The server scenario;サーバーシナリオ
__1__ wants to connect you to the following server: __2__;__1__が接続を要求しています サーバー: __2__
Your username is banned in this game. Reason: __1__.;あなたのユーザー名はこのゲームで禁止されています。理由: __1__。
You are banned in this game by authserver recommendation. To appeal contact support@factorio.com.;あなたは認証サーバーの勧告によりこのゲームからBANされています。\n抗議したい場合はsupport@factorio.comまでご連絡ください。
The player limit was reached in this game.;このゲームでプレイヤー数の上限に達しました。
User with your name is already in the game.;同名のユーザーがすでに参加しています。
Your username is not whitelisted on this server.;あなたのユーザー名はこのサーバのホワイトリストに登録されていません。
IP address and port already used for a different player.;このIPアドレスとポートは別のプレイヤーが既に使用しています。
Internal player authentication error.;プレイヤー認証内部エラーです。
Core mod CRC check failed! Core game data does not match expected content.;CORE Mod CRCチェックに失敗しました。 Coreゲームデータが要求と一致していません。
Prototype CRC check failed! A mod generated prototypes in a nondeterministic way.;プロトタイプのCRCチェックに失敗しました! MODはプロトタイプを非決定的に生成しました。
Version mismatch detected!;バージョンの不一致が検出されました!
You are running version __1__.;実行中のバージョン __1__.
Server is running version __1__.;サーバーは __1__ を実行しています.
Mods mismatch detected!;MODの不一致が検出されました!
__1__: you have version __2__, server has version __3__.;__1__: あなたのModバージョンは __2__ですが, サーバーのModバージョンは __3__です.
__1__: Mod contents are different even though the versions are the same. The most common cause of this is improper mod setting usage (conditionally requiring files based on mod settings). This can also be caused by modifying mod files on the client or server but not the other.;__1__: Modのバージョンは同じですが内容が異なります。よくある原因は、不適切なMod設定の使用です(Modの設定に基づく要求するファイルの条件)。サーバー・クライアントのいずれか一方のみでModファイルを変更した場合にも発生します。
__1__ is only on the server.;__1__ のModがサーバーにしかありません。
__1__ is not on the server.;__1__ のModはサーバーにありません。
Cannot join. The following mod script files are not identical between you and the server:;参加できません。以下のmodのスクリプトファイルがサーバーと同一ではありません。
Cannot join. The following mod event handlers are not identical between you and the server. This indicates that the following mods are not multiplayer (save/load) safe. (See the log file for more details):;参加できません。以下のMODイベントハンドラーがあなたとサーバーとの間で異なっています。これは、以下のMODがマルチプレイのセーブ・ロードにおいて安全でないことを示しています。（詳細についてはログファイルを参照してください）:
Cannot join. The following mod command handlers are not identical between you and the server. This indicates that the following mods are not multiplayer (save/load) safe. (See the log file for more details):;参加できません。以下のMODコマンドハンドラーがあなたとサーバーとの間で異なっています。これは、以下のMODがマルチプレイ(セーブ・ロード) おいて安全でないことを示しています。(詳細についてはログファイルを参照してください):
Connecting to the game...;サーバーに接続中...
Failed to connect. Check log file for details.;接続に失敗しました。ログファイルを確認してください。
Redownloading map (__1__);マップを再ダウンロードしています (__1__)
Downloading map (__1__);マップをダウンロードしています (__1__)
Could not establish network communication with server.;サーバーとのネットワーク通信を確立できませんでした。
__1__ has paused the game.;__1__ がゲームを一時停止しました。
You died. Bad luck. Respawn in __1__ __plural_for_parameter_1_{1=second|rest=seconds}__.;死亡しました。__1__秒後にリスポーンします。
__1__ joined the game.;__1__ がゲームに参加しました。
__1__ left the game.;__1__ がゲームから抜けました。
__1__ was dropped from the game.;__1__ は、ゲームから抜けました。
__1__ was disconnected as they are reconnecting from a different source.;__1__ は別のソースから再接続しようとしたため、切断されました。
__1__ was disconnected as they sent malformed data.;__1__は誤った形式のデータを送信したため、切断されました。
Your client sent wrong data to the server and was disconnected.;あなたのクライアントはサーバーに誤ったデータを送信し、切断されました。
__1__ was disconnected as they desynced.;__1__は非同期のため切断されました。
__1__'s computer or network could not keep up with the server, so they have been disconnected.;__1__のコンピューターまたは回線がサーバーと同期し続けられなかったため、切断されました。
__1__ was disconnected for being AFK.;__1__ は長時間操作が行われなかったため切断されました。
__1__ is switching servers.;__1__はサーバーを切り替えています。
__1__ desynced.;__1__が非同期。
Desynced.;非同期。
__1__ was killed at __2__;__1__は__2__で殺されました。
__1__ was killed by __2__ at __3__;__1__は__2__によって__3__で殺されました。
__1__ respawned.;__1__ が復活しました。
__1__ paused the game.;__1__ がゲームを一時停止しました。
__1__ resumed the game.;__1__ がゲームを再開しました。
The local port __1__ is already in use.\nThis could be caused by another instance of Factorio, or by another program using this port.;ローカルポート __1__ は既に使用されています。\n別の Factorio が起動しているか、その他のプログラムがポートを使用している可能性があります。
Loading scenario __1__;シナリオ __1__ をロードしています。
__1__ is downloading the map;__1__ がマップをダウンロードしています
__1__ is loading the map;__1__ がマップをロードしています
__1__ is catching up;__1__ が同期中です
__1__ is being dropped from the game;__1__ がゲームから抜けています
Saving the map for __1__;マップを__1__として保存しています
Server (__1__) is saving the map for __2__.;サーバー (__1__) が__2__のためにマップを保存中です。
Server (__1__) is saving the map.;サーバー (__1__) がマップを保存しています。
Waiting for the server to save the map.;サーバーがマップを保存するのを待機しています。
Waiting for the server to start saving: __1__;サーバーが保存を開始するのを待っています: __1__
Waiting for upload slot. __1__ __plural_for_parameter_1_{1=player|rest=players}__ waiting.;アップロードスロット待機中です。__1__人のプレーヤーが待機しています。
__1__ is saving map.;__1__ がマップを保存しています。
Creating desync report. Please wait.;非同期レポートを作成中です。しばらくお待ちください。
Downloading multiplayer data failed. Please try again.;マルチプレイデータをダウンロードできませんでした。もう一度やり直してください。
Downloading map from other peers failed. Please try again.;他のピアからマップをダウンロードできませんでした。もう一度やり直してください。
Server is not responding;サーバーが応答しません。
Unknown username;不明なユーザー名
You have joined a paused game. You will be able to see the map once the game is unpaused.;一時停止中のゲームに参加しています。ゲームが再開されると、マップを見ることができます。
You have been dropped from the game.;あなたはゲームから退出しました。
You have been disconnected as your computer or network wasn't fast enough to keep up with the server.;あなたのコンピューターまたは回線が、サーバーと接続を続けられるほど高速ではなかったため、切断されました。
You have been disconnected as you have been AFK.;長時間操作が行われなかったため切断されました。
You have been kicked from the server.;サーバーから接続を拒否されました。
You have been banned from the server.;あなたはこのサーバーにはアクセスできません。
__1__ is not a valid address (__2__).;__1__ は有効なアドレスではありません (__2__)。
__1__ was not found.;__1__ が見つかりませんでした。
Cannot load downloaded map: __1__;ダウンロードしたマップを読み込むことができません: __1__
Matching server connection failed.;マッチングサーバーへの接続に失敗しました。
Matching server connection resumed.;マッチングサーバーへの接続が復活しました。
Error when sending heartbeat: __1__;ハートビート送信時のエラー: __1__
Error when creating server game: __1__;サーバーゲーム作成時のエラー: __1__
Failed to determine external IP address. Other players might not be able to connect.;グローバルIPアドレスを取得できませんでした。他のプレイヤーは接続できないかもしれません。
User verification must be enabled for public games.;公開サーバーはユーザー認証を有効にしなければなりません。
Catching up.;最新の情報に更新しています。
Aligning desynced map to server.;マップをサーバーに同期しています。
Saving local variant of map.;マップのコピーをローカルに保存しています。
Communication with server failed;サーバーとの通信に失敗しました。
Server quit the game;サーバーがゲームを終了しました。
Multiplayer is currently disabled because autoplace specifications were changed during runtime.;ランタイム中にオートプレイスの仕様が変更されたので、マルチプレイは現在無効になっています。
You were disconnected from the network. The multiplayer game can not continue.;ネットワークから切断されました。マルチプレイヤーゲームを続行できません。
LAN mode authorization failed;LANモードの認証に失敗しました。
Network authorization failed;ネットワークの認証に失敗しました。
Online play requires Nintendo Switch Online membership;オンラインプレイには Nintendo Switch Onlineへの加入が必要です
Mark as read;既読にする
Play tutorial;チュートリアルをプレイ
Replay tutorial;チュートリアルをリプレイ
Suggested tip.;ヒントの表示
Tutorials are not playable in multiplayer.;チュートリアルはマルチプレイヤーでは再生できません。
Take items;アイテムを取得
Copy settings;設定をコピー
Paste settings;設定を貼り付け
Enter vehicle;車両に搭乗
Exit vehicle;車両から降車
Force build;強制的にビルド
Confirm selection;選択を確認
Cancel selection;選択の取消し
Next item;次のアイテム
Previous item;前のアイテム
Build using rail planner;レールプランナーを使用してビルド
Build using rail planner avoiding obstacles;障害物を避けてレールプランナーを使用してビルド
Transfer everything;すべてを転送
Place one;1 つ置く
Transfer all;すべてを転送
Transfer stack;スタックを転送
Epilogue;エンディング
Change recipe;レシピを変更する
Select a recipe for assembling;組立機のレシピを選択
Input;入力
Condition;条件
1;1
Output the specified output signal with a value of 1.;指定された出力信号を数量1で出力します。
Input count;入力数
Copy the count of the specified output signal from the input signals.;出力信号数を入力信号数と同じにします。
Rocket progress;ロケットの進捗
Rocket inventory;ロケットインベントリ
Auto-launch with cargo.;アイテムを積んで自動打ち上げ
Rocket result inventory;ロケット打ち上げ成果
Circuit network;回路ネットワーク
Logistic network;物流ネットワーク
Circuit connection;回路ネットワークへの接続
Connected to network;ネットワークに接続
[color=red]__1__[/color];[color=red]__1__[/color]
[color=green]__1__[/color];[color=green]__1__[/color]
Mode of operation;動作モード
Logistic connection;物流ネットワークへの接続
No network in range;ネットワークが範囲内にありません
Wall with gate controller;ゲート制御器付き防壁
Enable/disable;有効/無効
Turn this entity on only when the condition is true.;指定された条件を満たすときのみ、このエンティティを有効にします。
Turn this entity on only when the condition is true.\nTrains will skip disabled stops, allowing you to control train routes.;指定された条件を満たすときのみ、この駅を有効にします。\n列車は利用できない駅を通過するようになり、ルートの制御が可能になります。
Set filters;フィルターを設定
Sets the inserter filters based on the signals from the circuit network.;回路ネットワークのシグナルに基づいてインサータのフィルターを設定します。
Read hand contents;掴んでいるアイテムを取得する
Reads the contents of the inserter hand and sends them to the circuit network.;インサータが掴んでいるアイテムを読み取り、それらの信号を回路ネットワークに送信します。
Read contents;読み込む
Reads the contents of the container and sends them to the circuit network.;このコンテナの内容物を取得し、回路ネットワークに送信します。
Set requests from circuit network;回路ネットワークからの要求を設定
Sets the logistic requests of the chest based on the signals from the circuit network.;回路ネットワークのシグナルに基づいて物流ネットワークにアイテムを要求します。
Use colors;色の使用
Sets the color of the lamp based on color signals.\nIf a color signal has a value greater than 0, the lamp will show that color.\nIf multiple colors are present, only one of them will be used.;色の信号に基づいてランプの色を設定します。\n色の信号が0より大きい値を持っている場合、ランプはその色を表示します。\n複数の色が存在する場合、それらの一方のみが使用されます。
Read logistic network contents;物流ネットワークの内容を取得
Reads the available items from the logistic network of this roboport and sends them to the circuit network.;このステーションの物流ネットワークにあるアイテムを読み取り、回路ネットワークに送信します。
Read robot statistics;ロボットの統計を読み込む
Reads the number of robots in the logistic network of this roboport and sends it to the circuit network.;このロボットステーションが属する物流ネットワークにあるロボットの台数を読みとり、回路ネットワークに送信します。
Send to train;列車に送る
Sends the contents of the circuit network to the train, so they can be used for wait conditions.;列車に回路ネットワークの内容を送信し、発車条件に使用できるようにします。
Read train contents;列車の内容を取得する
Reads the contents of the train that is currently stopped at the train stop and sends them to the circuit network.;駅に現在停車中の列車のアイテム数を取得し、回路ネットワークに送信します。
Read stopped train;停車中の列車を取得する
When a train is stopped at the train stop, a signal is sent with a unique number for that train.;列車が駅に停車しているときに、その列車に固有の番号がシグナルとして送られます。
Read belt contents;ベルト上のアイテムを取得する
Reads the contents of the belt and sends them to the circuit network. Belts will not send correct pulse signals when items are inserted or taken from the middle of the belt by external entities.;ベルトの内容を読み取り、回路ネットワークに送ります。 アイテムが外部エンティティによってベルト上に設置される、または取り出されるとき、ベルトは正しいパルス信号を送信しません。
Read charge level;充電量を取得する
Reads the charge level of the accumulator as a percentage between 0 and 100, and sends it to the circuit network.;蓄電池の充電量を0～100のパーセンテージで読み取り、回路ネットワークに送信します。
Close signal;信号を閉じる
When the specified condition is true, it tries to make this signal red and stop any trains from passing.\nIf a train cannot stop in time (signal is yellow) or is already passing through (signal is red), the signal will not stop that train.\nNote: The train will very often stop at the signal and not try to find an alternative path even if one is available.;指定された条件を満たすとき、この信号を赤にしてすべての列車を停止させます。\n停止が間に合わない (信号が黄)、もしくはすでに通過している (信号が赤) 場合は列車を止めません。\n注：列車は非常に頻繁に信号で止まるようになり、代替経路が存在する場合でも経路の検索を行わなくなります。
Read signal;信号を取得する
Reads the color of the rail signal and sends the circuit network signal specified below.\nIf the rail signal is red because it was closed from the circuit network, nothing will be sent.;信号の状態を取得し、以下で指定するシグナルを回路ネットワークへ送ります。\n回路ネットワークの条件設定によって信号が赤になっている場合は何も出力しません。
Reads the color of the rail chain signal and sends the circuit network signal specified below.;連動式列車用信号の状態を取得し、以下で指定するシグナルを回路ネットワークへ送ります。
Open gate;ゲートを開く
The gate will remain open so long as the circuit condition is true.;回路条件が真であるあいだ、ゲートが開きます。
Read sensor;センサー読み取り
Sends a signal to the circuit network when a character is coming towards the gate, and it should open.;プレイヤーが接近しゲートが開こうとするときに回路ネットワークにシグナルを送信します。
Read resources;資源を取得
Reads the amount of resources expected from this miner/pumpjack and sends it to the circuit network.\nFor infinite resources, it reads the unmodified mining rate.\nThe value is updated every 5 seconds.;この掘削機・油井から期待される資源量を取得し、回路ネットワークへ送信します。\n枯渇しない資源の場合は、変更前の採掘レートを読み取ります。\n値は5秒毎に更新されます。
Don't change this entity's behavior based on the circuit network.;回路網の状態にかかわらず、このエンティティの動作を変更しません。
Set stack size;スタックサイズの設定
Set the maximum stack size of this inserter based on the count of the selected circuit network signal.;選択した回路ネットワークのシグナルに基づいてインサータの最大スタックサイズを設定します。
Set train limit;列車の上限を設定
Sets the maximum number of trains going to this train stop. Includes the stopped train.;この駅に停車する予定の列車最大数を設定します。停車中の列車を含みます。
Read train count;列車数の読み取り
Reads the number of trains going to this particular train stop. Includes the stopped train.;この駅に停車する予定の列車最大数を読み取ります。停車中の列車を含みます。
Enabled condition;作動条件
Hand read mode;読み取りモード
Content read mode;読み取りモード
Resource read mode;読み取りモード
Pulse;パルス
The signal is sent for only 1 tick when the item is picked up.;アイテムを掴んだとき、1ティックだけシグナルを送信。
The signal is sent for only 1 tick when the item enters the belt.;アイテムが乗ったとき、1ティックだけシグナルを送信。
Hold;ホールド
The signal is sent continuously as long as the inserter is holding the item.;アイテムを掴んでいるあいだ、連続的にシグナルを送信。
The signal is sent continuously as long as the items are on the belt.;アイテムが乗っているあいだ、連続的にシグナルを送信。
This mining drill;この掘削機
Read the resources expected from this mining drill.;この掘削機から期待される資源量を取得
Entire resource patch;鉱床全体
Read the resources expected from the entire resource patch around this mining drill.;この掘削機の周辺の鉱石区画全体から期待される資源量を取得します。
Output signal;出力信号
Closed condition;停止条件
R;赤
The circuit network signal to send when the rail signal is red (a train is passing through the rail signal).;列車用信号が赤（列車が通過中） のとき回路ネットワークに送信するシグナル。
The circuit network signal to send when the chain signal is red (a train is occupying all routes through the chain signal).;連動式列車用信号が赤（全てのルートが占有中） のとき回路ネットワークに送信するシグナル。
Yellow;黄
The circuit network signal to send when the rail signal is yellow (a train is planning to pass through the rail signal).;列車用信号が黄色（列車が通過予定） のとき回路ネットワークに送信するシグナル。
The circuit network signal to send when the chain signal is yellow (a train is planning to pass through the chain signal).;連動式列車用信号が黄色（列車が通過予定） のとき回路ネットワークに送信するシグナル。
The circuit network signal to send when the rail signal is green (the block is free).;列車用信号が緑（区画内に列車なし） のとき回路ネットワークに送信するシグナル。
The circuit network signal to send when the chain signal is green (the block is free).;連動式列車用信号が緑（区画内に列車なし） のとき回路ネットワークに送信するシグナル。
B;青
The circuit network signal to send when the chain signal is blue (1 or more paths are blocked but 1 or more paths are still available).;連動式列車用信号が青（ルートの1つ以上が通行可・1つ以上が通行不可） のとき回路ネットワークに送信するシグナル。
Available logistic bots;利用可能物流ロボット数
Total logistic bots;すべての物流ロボット
Available construction bots;利用可能建設ロボット数
Total construction bots;すべての建設ロボット
Open condition;通行条件
Control signal;制御シグナル
Input signal;入力信号
Unique identifier of stopped train;停車中の列車の固有識別子
Train count;列車数
Number of trains going to this train stop. Includes the stopped train.;この駅に停車する予定の列車数。停車中の列車を含む。
Maximum number of trains going to this train stop. Includes the stopped train.;この駅に停車する予定の列車の最大数。停車中の列車を含む。
State;状態
Volume;音量
Global playback;全体再生
Sounds created by the speaker will be heard everywhere on the map.;スピーカーが鳴らしたサウンドがマップ全体で聞こえるようになります。
Show alert;アラートの表示
Show an alert with a message in the GUI when a sound is played.;サウンドの再生時、メッセージとともにアラートを表示します。
Signal value is pitch;信号による音階
The value of the input circuit network signal determines the musical note that will be played.;回路ネットワークの信号の値で決定される音符が演奏されます
Circuit connection settings;回路接続設定
Alert settings;アラート設定
Allow polyphony;複数音再生可能
Allow up to __1__ sounds to be played at the same time. Disable to only allow one sound at the same time (useful for factory alerts).;同時に__1__音まで再生できるようにします。1音のみ許可するには無効にします(工場のアラートに有用)
Show icon on map;マップにアイコンを表示
Trunk;トランク
Weapons control;車載装備の操作
Driver;運転手
Passenger;乗客
Auto targeting;自動攻撃
Without gunner;ガンナー不在
Shoot nearby enemies automatically when the vehicle is empty;誰も搭乗していない場合、近くの敵を自動的に攻撃します。
With gunner;ガンナー搭乗
Shoot nearby enemies automatically when a gunner (driver or passenger) is in the vehicle;ガンナー(運転手もしくは乗客)が搭乗している場合、近くの敵を自動的に攻撃します。
Filter;フィルター
Override stack size;スタックサイズを上書き
Input priority;入力優先順位
Output priority;出力優先順位
Show GUI;GUIを表示
Show message dialogs;メッセージログを表示
Automatic updates;自動更新
Mod;MOD
Update now;今すぐアップデート
Disable updates;アップデートを無効にする
Username;ユーザー名
Enter your username and password to download updates.;アップデートをするためには、あなたのユーザーネームとパスワードを入力して下さい。
The following updates are available:;次の更新プログラムが使用可能です。
Updating may take up to several minutes. Please be patient.;更新には数分かかる事があります。しばらくお待ちください。
Update failed: __1__;アップデート失敗: __1__
Invalid username or password!;ユーザーネームまたはパスワードが無効です。
Applying;適用
Downloading;ダウンロード中
Checking;チェック中
Restarting Factorio;Factorioを再起動します。
Updated to version __1__;バージョン__1__へアップデートしました
Check for updates;アップデートを確認
No new updates available;新しいアップデートはありません
There is a newer version of Factorio, but it can no longer be obtained using automatic updates. Please download the latest version manually from __1__.;新しいバージョンのFactorioがありますが、自動更新が出来ません。__1__ から最新バージョンを手動でダウンロードして下さい。
Automatic Steam update notice;自動Steamアップデートのお知らせ
This version of Factorio is from a beta branch that won't be updated automatically. To make sure you get the latest updates, select "latest experimental" beta in the properties for Factorio in Steam, or opt out of betas to get the latest stable release.;このFactorioベータブランチは自動更新されません。常に最新のバージョンにするためには、SteamクライアントのFactorioのプロパティから"experimental"を選択するか、"なし"を選んで安定版を待ってください。
Couldn't initialize Steam API. Steam-related features are disabled. Restarting Steam usually fixes this issue.;Steam APIを初期化できませんでした。Steam関連の機能は無効になります。通常はSteamを再起動することで問題を解決できます。
Steam error;Steamエラー
Checking for updates failed: __1__;アップデートチェック失敗: __1__
Service unavailable;サービスを利用できません
Production;生産量
Accumulator charge;蓄電率
__1__ / __2__;__1__ / __2__
Amount of power currently being produced out of power currently required.;現在必要な電力のうち現在発電中の電力。
Amount of power currently being produced out of maximum possible power production.;最大可能発電量のうち現在発電中の電力。
Amount of stored energy in all accumulators in this network.;この電力ネットワーク中の全ての蓄電池が蓄えている電力量。
Built;設置
Deconstructed;撤去
Upgraded;更新
Losses;喪失数
Removed entities;削除されたエンティティ
Removed equipments;削除された装備
Removed items;削除されたアイテム
Removed recipes;削除されたレシピ
Removed tiles;削除されたタイル
Removed technologies;削除されたテクノロジー
Removed fluids;削除された流体
Removed decoratives;削除された装飾
Removed virtual signals;削除された仮想シグナル
Removed custom inputs;取り除かれたカスタムインプット
Removed equipment grids;取り除かれた装備グリッド
Removed particles;取り除かれたパーティクル
Removed achievements;取り除かれた実績
Removed mod settings;取り除かれたMOD設定
Removed smokes;取り除かれた煙
Removed shortcuts;取り除かれたショートカット
Removed blueprint __1__: map version __2__ too old;建設計画 __1__は削除されました : マップのバージョン __2__ が古すぎます
Changed shortcuts;変更されたショートカット
Changed smokes;変更された煙
Changed achievements;変更された実績
Changed mod settings;変更されたMOD設定
Changed equipment grids;変更された装備グリッド
Changed particles;変更されたパーティクル
Changed custom inputs;変更されたカスタムインプット
Changed entities;変更されたエンティティ
Changed equipments;変更された装備
Changed items;変更されたアイテム
Changed recipes;変更されたレシピ
Changed tiles;変更されたタイル
Changed technologies;変更されたテクノロジー
Changed fluids;変更された流体
Changed decoratives;変更された装飾
Changed virtual signals;変更された仮想シグナル
This fluid is not available due to mod removal, it will be restored if the mod is re-enabled.;未知の流体
This signal is not available due to mod removal, it will be restored if the mod is re-enabled.;不明なシグナル
This entity is not available due to mod removal, it will be restored if the mod is re-enabled.;不明なエンティティ
This tile is not available due to mod removal, it will be restored if the mod is re-enabled.;不明なタイル
This item is not available due to mod removal, it will be restored if the mod is re-enabled.;不明なアイテム
The game you are connecting to requires you to log in.;接続中のゲームはあなたのログインを要求しています。
The game you are connecting to couldn't authenticate you. Please log in again or try later.;接続しようとしているゲームはあなたを認証できませんでした。ログインし直すか後で再試行してください。
There was a mismatch on the matching server in verifying your username and token. Please log in again.;ユーザー名とトークンをマッチングサーバで検証できませんでした。もう一度ログインしてください。
Browsing public multiplayer games requires you to log in.;公開マルチプレイサーバーを見るためにはログインが必要です。
Please choose your LAN player name.;LANプレイヤー名を選択してください。
Posting a game to the matching server requires you to log in.;ゲームをマッチングサーバーに登録するためにはログインが必要です。
Connecting to the matching server requires you to log in.;マッチングサーバーを利用するためにはログインが必要です。
Please log in to your existing Factorio account.;既存のFactorioアカウントでログインしてください。
Using the mod portal requires you to log in.;MODポータルを利用するためにはログインが必要です。
There was a mismatch on the mod portal in verifying your username and token. Please log in again.;MODポータルにてユーザー名のトークン検証に不一致がありました。再度ログインしてください。
Downloading mods requires you to log in.;Modのダウンロードにはログインが必要です。
You are not logged into Steam. Please log into Steam in order use online features, or use a Factorio.com account.;あなたはSteamにログインしていません。オンライン機能を使うためにはSteamにログインするか、Factorio.comアカウントを使用してください。
You are not logged into Steam. Using Factorio.com credentials only.;あなたはSteamにログインしていません。Factorio.comの登録情報のみ使用します。
Steam authentication failed. Please make sure you're logged in to Steam in online mode.;Steam認証に失敗しました。Steamにオンラインモードでログインしていることを確認してください。
Username cannot be empty.;ユーザー名は空にできません。
Password cannot be empty.;パスワードは空白にできません。
Email cannot be empty.;メールアドレス欄を空白にしておくことはできません
You must accept the Terms of Service.;利用規約に同意する必要があります。
Logging in;ログイン中
Logging in with Steam;Steamでログイン中
You are now authenticated as __1__ through Steam.;あなたは現在Steamを通して__1__として認証されています。
You are now authenticated as __1__.;あなたは現在__1__として認証されています。
Create account;アカウントを作成
Forgot password;パスワードを忘れた
Authentication Code;認証コード
Please enter the e-mail authentication code we sent to your inbox.;メールで送信された認証コードを入力してください。
E-mail authentication required. Please enter the code we sent to your inbox.;メール認証が必要です。メールで送信された認証コードを入力してください。
Preparing online communication;オンライン通信を準備中
Checking membership;加入状態を確認中
Create;作成
I accept the;同意する
Terms of Service;利用規約
I already have a Factorio.com account;私は既にFactorio.comのアカウントを所持しています
If you have a Factorio account, you can log in using your password instead. This will also link your Factorio account to this Steam account.;Factorioアカウントを所持している場合、代わりにあなたのパスワードを使ってログインできます。同時に、あなたのFactorioアカウントをこのSteamアカウントに紐付けします。
If you have a Factorio account, you can log in using your password instead. This will also link your Factorio account to this console's account.;Factorioアカウントを所持している場合、代わりにあなたのパスワードを使ってログインできます。同時に、あなたのFactorioアカウントをこのコンソールアカウントに紐付けします。
You are authenticated using Steam. Choose a username to use for Factorio. This will be your nickname in multiplayer games. It can be changed one time on our website.;あなたはSteamを通して認証されています。Factorioで使用するユーザーネームを選択してください。ここで選択した名前はマルチプレイゲームのおいてあなたのニックネームになります。我々のウェブサイトで一度だけ変更が可能です。
Choose a username to use for Factorio. This will be your nickname in multiplayer games. It can not be changed.;Factorioで使用するユーザーネームを選択してください。ここで選択した名前はマルチプレイゲームのおいてあなたのニックネームになります。これは変更できません。
Creating account;アカウントを作成しています
You are now authenticated as __1__ through Steam. If you want to use this account without Steam, log in with Steam on __2__ and set an email and password in your profile.;あなたは現在Steamを通して__1__として認証されています。Steamを通さずにこのアカウントを使いたい場合、Steamで__2__にログインし、あなたのプロファイルにEメールとパスワードを設定してください。
Account created successfully. You are now authenticated as __1__.;アカウントが正常に作成されました。あなたは現在__1__として認証されています。
This account already has an email assigned. The assigned email address is __1__;このアカウントにはすでにメールアドレスが割り当てられています。割り当てられたメールアドレスは __1__ です。
Set email;メールアドレスを設定
This account does not have an email assigned. Add an email and password to use this account on other platforms or consoles.;このアカウントにはメールアドレスが割り当てられていません。他のプラットフォームやゲーム機でこのアカウントを使用するには、メールアドレスとパスワードを追加してください。
E-mail;Eメールアドレス
E-mail can't be empty.;メールアドレス欄を空白にしておくことはできません
E-mail address is invalid.;メールアドレスが正しくありません。
Setting email;メールアドレスの設定
An email was sent to __1__. Please follow the instructions to confirm the email and set a password.;__1__にメールが送信されました。指示に従ってメールを確認し、パスワードを設定してください。
Easy;イージー
